"","iso_code","country","incidence_total_mid","incidence_total_low","incidence_total_high","prevalence_mid","prevalence_low","prevalence_high","imported_cases_mid","imported_cases_low","imported_cases_high"
"1","AFG","Afghanistan",122.799496208422,102.710506830084,152.344653758341,0.000268919275111074,0.000224839770081292,0.000334038464264145,NA,NA,NA
"2","ALB","Albania",1130.67845370363,952.128559846101,1383.5035442072,0.0120234289965229,0.0101477952749791,0.0146797593630021,NA,NA,NA
"3","DZA","Algeria",195.81492535715,178.727127320426,448.959968605429,0.000190497032837444,0.000173802106867247,0.000446820195934467,19.3064441068593,11.9791189489508,41.7848149766963
"4","AND","Andorra",53.7778772963367,49.869754850202,60.1318562307431,0.0327582111421996,0.0303511708368174,0.0367646064038476,NA,NA,NA
"5","AGO","Angola",125.770870125033,105.945784947971,154.258053781643,0.000268821521196862,0.000225524278735932,0.000331030118646623,NA,NA,NA
"6","ATG","Antigua and Barbuda",39.9598745729583,33.2038234918981,49.7049177635375,0.0109347299236452,0.00888750142609857,0.0139046529212031,NA,NA,NA
"7","ARG","Argentina",11973.810177811,10554.9535604792,21697.076668457,0.0190717256575258,0.0168125558716123,0.0345885061620601,4.75858581456149,3.88574158415124,8.91509332252379
"8","ARM","Armenia",1291.35643086844,1084.54091393833,1591.59535093919,0.0222646863432506,0.0186952247590918,0.0273876026900005,NA,NA,NA
"9","AUT","Austria",8033.92514889488,3783.30427201395,13831.5678198126,0.0370286449505175,0.0178257478204398,0.0647299091845087,630.645273723672,440.174183719316,1010.27883017828
"10","AZE","Azerbaijan",1335.73018553423,1231.37701192046,1482.90641627734,0.00994001699888633,0.00912366519423829,0.0110609270230766,NA,NA,NA
"11","BHS","Bahamas",41.9315606472268,35.2899334946577,51.4499181217542,0.0064037201334371,0.00537459740679939,0.00788296016963344,13.5459206390353,11.709171879658,24.4964890459798
"12","BHR","Bahrain",1061.23253122133,961.246730601569,1323.24028833983,0.0335066530127674,0.0304595848511852,0.0421682798511378,88.8652486501549,67.4548904396144,124.542324150127
"13","BGD","Bangladesh",3510.92950987093,2836.92240627725,4210.94526909798,0.0017289378843961,0.00139535327073308,0.00207224967210456,37.293769587821,31.061535876214,58.7244000554559
"14","BRB","Barbados",27.4582338430093,25.4577158867651,31.0791953736464,0.00283053612919087,0.00261714792030036,0.0032535525884577,7.9824348763796,6.94300309383494,13.6660767800566
"15","BLR","Belarus",1698.38187324807,1504.22105450995,1953.40218417965,0.00817439304104384,0.00722080263731671,0.00939665664988129,111.876120477943,86.3131483862429,217.224606043197
"16","BEL","Belgium",5701.7144591405,4836.18134263296,155474.814922597,0.0221848260677326,0.0188162944184397,0.604710070714709,507.872726129891,360.318750634488,789.63675675396
"17","BLZ","Belize",14.4840082724016,12.2369437805893,17.6753131938848,0.00147500604671353,0.00124045251613078,0.00180794732177528,1.51807731299533,1.31223477961685,2.74529618618739
"18","BEN","Benin",81.096911440924,72.6328683167143,97.1615287018464,0.000189429665571338,0.000171342744776659,0.000223713819931978,NA,NA,NA
"19","BTN","Bhutan",0.286606892037728,0.261551874464917,0.343115389958678,0.000180044777116158,0.000163665110694425,0.000220348084806549,NA,NA,NA
"20","BOL","Bolivia",3292.97908390237,2808.61588848801,4098.65000627923,0.0134647836709817,0.011497124075249,0.0167623848256286,NA,NA,NA
"21","BIH","Bosnia and Herzegovina",5533.20118403098,4669.53591761395,6786.50012441228,0.0743170723702667,0.062713326655921,0.0911321729678092,4.47410878103089,3.57985455374108,6.13835921651117
"22","BWA","Botswana",2331.11407119996,1830.77534738202,2946.36580694937,0.0370228877861321,0.0267939297392512,0.0475869738964077,NA,NA,NA
"23","BRA","Brazil",121660.57787197,105213.247407693,265828.953022688,0.0248960693937655,0.0215817090353204,0.0543544418546036,128.170067454662,95.6771090082283,211.03460320528
"24","BRN","Brunei",1.41209628694315,1.1482188192818,1.85356448315419,0.000110258849003759,0.0000897126456576909,0.000148943108175224,0.516236846547653,0.466492877489379,0.623127832700111
"25","BGR","Bulgaria",13990.5906319942,11760.4119884254,17198.2160206341,0.0793342437679427,0.066686052679319,0.097518549099999,16.9782419370902,12.029056616871,27.983720819637
"26","BFA","Burkina Faso",34.4700783381924,32.0401308219595,38.3847288060627,0.0000681084962427945,0.0000632213971742035,0.000076785876678095,NA,NA,NA
"27","BDI","Burundi",28.5222109468287,26.1987794249473,34.2102608096946,0.000145812245338596,0.000132336409248646,0.00018918033514426,NA,NA,NA
"28","KHM","Cambodia",90.6056956859809,82.1750321754773,111.299243887488,0.000554122941821975,0.00047888684088115,0.000851931640222747,NA,NA,NA
"29","CMR","Cameroon",669.872768472464,574.40230450322,814.307509740697,0.00186244891695094,0.00159863090127508,0.00226261734724851,NA,NA,NA
"30","CPV","Cape Verde",96.9635853752815,90.2353966870096,108.374599682285,0.0128184004375959,0.0118692701144585,0.0150044437058376,3.24258079892606,2.34419624262689,4.06439868313134
"31","CAF","Central African Republic",7.71878120722582,6.84394071490846,9.119314510681,0.000248064592237857,0.000213150824316732,0.000303938158635928,NA,NA,NA
"32","TCD","Chad",69.027868010404,57.9317729636408,85.0307681458655,0.000131253378274602,0.000109107368842572,0.000163045944791221,NA,NA,NA
"33","CHL","Chile",17434.1253829082,12729.6417984455,30550.1532441344,0.0442646615421045,0.0319826805557476,0.0776277659479507,NA,NA,NA
"34","COL","Colombia",7866.00243749938,6743.11364922795,19924.561082121,0.0120574027672886,0.0103357800664195,0.0305452666862668,54.8019470883876,44.9228798193763,99.7582732173752
"35","COM","Comoros",18.284485174741,14.3826421645301,22.4098181924528,0.00113345903648379,0.000932330282091269,0.0013930606569176,NA,NA,NA
"36","COG","Congo",43.565738557645,38.2103735152764,52.6530088567033,0.000271509225405641,0.000240552521131415,0.000323692301874583,NA,NA,NA
"37","CRI","Costa Rica",856.601208932422,731.652915408593,1072.2624466763,0.00998726000045749,0.00854368691228587,0.0125128501168626,NA,NA,NA
"38","CIV","Cote d'Ivoire",523.227660040352,485.396787265997,584.611918497261,0.000564453717038,0.000522179623177226,0.000637145556843806,NA,NA,NA
"39","HRV","Croatia",2200.03243963598,1820.57476732154,2773.52741079896,0.0353177452015153,0.0292292480141446,0.0444322089640559,144.164722407451,101.874409982209,216.617112500491
"40","CUB","Cuba",1342.91204436764,1165.30460929412,3321.60680195088,0.00529889305609815,0.0046755236538385,0.0124495967192633,NA,NA,NA
"41","CYP","Cyprus",526.637684485478,486.355710549259,599.648324334399,0.0327984068549301,0.0305601074639514,0.0360803027432584,71.7577817622412,52.7432648178792,210.598485201789
"42","CZE","Czechia",28858.1799286373,24309.2358155283,35644.4534725489,0.0819522011663359,0.0689956890075393,0.100760015400356,239.959163804821,165.052398130596,413.859618983201
"43","COD","Democratic Republic of Congo",183.002197469397,98.7213214032582,232.627669621768,0.0000738424986907603,0.0000386057965446645,0.0000943913819194766,NA,NA,NA
"44","DNK","Denmark",926.704377710485,846.207497820401,1145.11327560747,0.00694378412607961,0.00641123571240756,0.00807785733612004,321.101704897559,234.224229950947,487.482243754866
"45","DJI","Djibouti",112.780090416077,90.4255483423499,144.730545452876,0.0082632023189772,0.00651800272962946,0.010752624982847,NA,NA,NA
"46","DOM","Dominican Republic",614.15528937319,571.495620951186,682.629098336183,0.00252659852743245,0.00235092569429038,0.0028206313668718,NA,NA,NA
"47","ECU","Ecuador",7079.41416399587,1857.0606589027,9023.02139096642,0.0192031858944766,0.00514945263280616,0.0244407580743661,5.21792607872235,4.54514554742422,9.72001591389425
"48","EGY","Egypt",3477.23588444488,859.098120922889,4656.95433450373,0.00162968020920129,0.000402971013858962,0.0021620132267196,1.05431358522598,0.749714904785394,2.06879816599455
"49","SLV","El Salvador",478.397888954303,403.11292345282,585.12116721385,0.00318147613355882,0.00267984754568545,0.00389228037390581,NA,NA,NA
"50","GNQ","Equatorial Guinea",46.1245647114482,39.7207436326171,56.213342037889,0.00108435799372285,0.000937921367412196,0.00133147131178601,NA,NA,NA
"51","ERI","Eritrea",20.6979301943113,19.0932868359953,23.7386764815063,0.000247902584489597,0.000227631884302227,0.000292999133533011,NA,NA,NA
"52","EST","Estonia",1950.19131163225,1794.06659485771,2186.75025997434,0.0464136833627949,0.0431151116956896,0.0514525000165578,76.3192608063052,57.8510915747134,113.720231867823
"53","SWZ","Eswatini",39.9564864886051,26.5497407581919,49.4867410056967,0.00422612626684005,0.00287588327887858,0.00524939567472457,NA,NA,NA
"54","ETH","Ethiopia",2272.58583012243,2074.54093908083,3323.08206794352,0.000973332128821195,0.000892336588953211,0.0014334833870663,NA,NA,NA
"55","FJI","Fiji",0.861585545553157,0.657079181226984,1.16450808835751,0.0000337267512610118,0.0000241135614258846,0.0000492167643118741,NA,NA,NA
"56","FIN","Finland",1018.69802696983,912.68756678505,1182.48687806475,0.00603191208379201,0.00543632242254537,0.00697303100986085,221.133816698114,164.999604412125,364.616744415665
"57","FRA","France",71188.0822944329,39399.8901736869,151581.278653355,0.0492046879693454,0.0274863288436767,0.103983174311981,1103.903300566,810.198827663944,2076.09517357173
"58","GAB","Gabon",235.23751291527,217.349607672189,269.134612149584,0.00416142969992306,0.00381754544379523,0.00491152920346587,NA,NA,NA
"59","GMB","Gambia",78.4831694653819,65.8214120763115,96.3086786492816,0.00110009447672653,0.000914858916589527,0.00136109041840481,2.27597953234507,1.64922696065864,11.1163113245755
"60","GEO","Georgia",557.376376257256,509.104325647091,693.887581064059,0.0091226187791747,0.00830861533812732,0.0115468600870921,NA,NA,NA
"61","DEU","Germany",284260.480505237,193683.717895679,340639.671560685,0.16791968936953,0.114424908768694,0.201319919210754,1425.50524289991,1060.21312327176,3655.47805892003
"62","GHA","Ghana",396.187287954146,361.97908074708,451.12000386623,0.000384879998099267,0.000346049373489676,0.000437224214941741,NA,NA,NA
"63","GRC","Greece",10034.7076374953,8342.58203315208,14063.6934548061,0.0444817918249375,0.0370241836473412,0.0630277070932986,155.961040357602,113.484048866521,292.3943850768
"64","GRD","Grenada",0.33094058280999,0.305143853530958,0.38015764322872,0.0000975123127407973,0.0000894937492025765,0.000115045276458683,NA,NA,NA
"65","GTM","Guatemala",2359.186971109,1987.46443898486,2890.61346874157,0.00710987143374757,0.0059897652060361,0.00871097781780659,30.5719577493512,26.2737123921009,59.4221184158305
"66","GIN","Guinea",199.517592561621,178.458553864249,229.335971202788,0.000608908572911012,0.000531032049094544,0.000715678476711461,NA,NA,NA
"67","GNB","Guinea-Bissau",26.4171077560827,22.3152336230724,32.45284834773,0.000430334968116635,0.000355506341519943,0.000535947190100982,0.2656736208789,0.215619712763944,0.359104760396957
"68","GUY","Guyana",134.628519748107,113.197884723864,164.69477823471,0.00984983514393649,0.00823875441165919,0.0120894924329939,NA,NA,NA
"69","HTI","Haiti",19.4587106950405,16.1061315909413,24.0094308227651,0.0000612405074903202,0.000050689743405225,0.0000757304309514199,NA,NA,NA
"70","HND","Honduras",1558.44905472503,1314.12338468535,1907.89681621565,0.00722007777374767,0.00608886631601112,0.00884092938103449,NA,NA,NA
"71","HUN","Hungary",23877.4693690721,9757.36704446382,36310.5914289098,0.0950483278746764,0.039163095190752,0.144354071630679,193.578073946304,137.403628713346,330.658303937621
"72","ISL","Iceland",7.63536018533699,6.80088586105585,9.3270271300031,0.00116881222426335,0.0010370976767576,0.00144221498638411,NA,NA,NA
"73","IND","India",56074.6524841743,49091.1015122772,79391.133938307,0.00457326283589384,0.00401636285799329,0.0065396508789584,345.130861083841,263.501557992924,529.172273543497
"74","IDN","Indonesia",13868.496921445,7726.75280593606,21878.5883433409,0.00206492803411504,0.00115128122463682,0.00327245034528395,0.217718692914766,0.180560092960507,0.304925611924503
"75","IRN","Iran",19971.47975338,16938.721011589,23756.4331046252,0.0157435082504216,0.0134891689440273,0.0186604504720984,0.0928416796391459,0.0836518250105812,0.127979017278574
"76","IRQ","Iraq",7944.2696395496,7210.10591811185,9398.52584184094,0.00957412049542348,0.00871990585433194,0.0113564547981777,1.14473702429955,0.902422477522256,3.15608524290954
"77","IRL","Ireland",760.569562437811,708.892763731473,832.667690732224,0.00613487367964782,0.00571764471605746,0.00671596363473416,195.281300624687,140.143321923363,370.373712977131
"78","ISR",NA,2822.97368148895,2531.29561195797,3494.51570372143,NA,NA,NA,209.874479330525,148.814341423713,545.056161032712
"79","ITA","Italy",31202.5239067938,28920.2408302721,34221.2032394703,0.0193916781225991,0.0179816389389018,0.0213579712656621,1235.7975936635,856.747508754235,2218.44142305033
"80","JAM","Jamaica",952.768517850362,828.848007078191,1131.94338691805,0.00994220645835855,0.0086649746068138,0.0118048694816212,NA,NA,NA
"81","JPN","Japan",2384.80962689054,2192.47873101283,2624.63292394421,0.00131112326025265,0.00120359625511025,0.00144348345599322,211.644018086339,157.882216436358,329.884725273145
"82","JOR","Jordan",12931.4088737606,9620.82961557533,15738.3591413621,0.0449581037830269,0.0332422648483567,0.0548823525403121,19.4647051814275,14.0130632361008,97.0342424322644
"83","KAZ","Kazakhstan",2258.86252794978,1952.32254731214,3406.10289802895,0.00774759334707995,0.00671133919706033,0.0117231882508088,28.9104118179661,21.604366442878,111.716145369227
"84","KEN","Kenya",1386.37351361943,1224.45072416064,2767.23397614773,0.00117787414592655,0.00104580925245122,0.00237779087739327,51.4524387869883,39.3700723200593,94.3424049669196
"85","KWT","Kuwait",1986.20001897438,1798.26587532519,2644.94509395624,0.020268254005729,0.0182620181361128,0.0279390812368717,15.7729858941418,12.7338045626126,35.1477247666083
"86","KGZ","Kyrgyzstan",108.018095229182,99.6948561464691,139.262294665739,0.00123640410437696,0.001140808249702,0.00159369520278419,0.215626249228599,0.169712741488284,0.287762426333225
"87","LVA","Latvia",1095.19388447499,921.260686913426,1373.49721388034,0.0237419601331608,0.0199225006468193,0.0300009428808809,104.87872346615,77.8672706990432,138.931836983972
"88","LBN","Lebanon",8092.01332679006,6669.34045249681,10744.1625223992,0.0448625945541865,0.0368045923134001,0.0621431906836391,111.028319022671,80.2674976197152,283.03562309122
"89","LSO","Lesotho",21.1640101829198,17.72032026643,26.1907555981611,0.000290186200146405,0.000243580524379049,0.000360354853677692,NA,NA,NA
"90","LBR","Liberia",3.89147348049014,3.28482593213636,4.78224272272247,0.0000177852341758089,0.0000147872617793593,0.0000220927792918303,NA,NA,NA
"91","LBY","Libya",1646.43818069228,1410.55420257152,1992.21897094618,0.00959620930559465,0.00821635169180085,0.0116183638768165,0.307498791726796,0.223791494873142,1.96992609187363
"92","LIE","Liechtenstein",9.00963919532699,7.57932147869259,11.0661945897325,0.0164366783715953,0.0136282451647574,0.0204094219520422,NA,NA,NA
"93","LTU","Lithuania",1022.0257672338,873.416429084921,1250.20376149734,0.0223844156039131,0.0191165578489862,0.0274062631115107,101.516847452819,75.5813352929327,151.87362955781
"94","LUX","Luxembourg",326.788899451039,284.742807323452,367.389296686825,0.0209065330168118,0.0185667864027789,0.0235290995196954,126.548259357941,90.8963577357463,254.375885325139
"95","MDG","Madagascar",284.550402164993,254.167740369484,333.68114931134,0.000945706370825991,0.000837161482190179,0.00111543845621801,0.0583875889613589,0.0504705684468018,0.105588314853361
"96","MWI","Malawi",146.709017336633,122.943395748478,206.071092274816,0.00025262013166904,0.000211773152728867,0.000351912200171838,NA,NA,NA
"97","MYS","Malaysia",2168.06996315529,1951.03297081615,2506.02801440012,0.00300137220327407,0.00275534683606043,0.00346667661608561,29.0642933578234,23.8383307181176,62.8081488883731
"98","MDV","Maldives",207.605681230124,187.495937989645,242.477190702304,0.0158140774259785,0.014505493779611,0.0181893160176533,NA,NA,NA
"99","MLI","Mali",227.082301560015,191.013865631466,278.902335969261,0.000906201621204018,0.00076013920481224,0.00111728398300071,13.4423456446582,8.7338731323354,42.6397622433104
"100","MLT","Malta",409.897848147641,354.919590530335,487.704684232808,0.023487888000559,0.0202387581741376,0.0280970988883423,75.2144926707363,51.0438366020492,141.372709944363
"101","MRT","Mauritania",54.0014707477719,45.5081289480957,66.0285030970831,0.000466707516667843,0.000392841771136831,0.000571671491892152,0.791101515897583,0.503534662779064,2.96754099096605
"102","MUS","Mauritius",20.8941766402285,18.3282738839603,25.3688857591524,0.000635264255454404,0.00056398925953417,0.000770714362795476,NA,NA,NA
"103","MEX","Mexico",12559.5007598733,6623.75886426699,22845.7996422025,0.00364050121928182,0.00191434288770134,0.00663798066144577,62.6616587991607,52.5826861486661,109.010924541953
"104","MDA","Moldova",3460.21770501651,2915.2423348404,4243.83256420064,0.0305983977847589,0.0257683401171506,0.0375559863284292,NA,NA,NA
"105","MCO","Monaco",28.6140189197294,23.6627032091781,35.5417682507849,0.0253712123266261,0.020194821236353,0.0327561314400435,NA,NA,NA
"106","MNG","Mongolia",418.500891708081,325.228809967161,568.777548158285,0.0211072924507514,0.0153315155223932,0.0301806631150167,NA,NA,NA
"107","MNE","Montenegro",814.761952826496,707.36313962706,964.352412177878,0.0434647305360125,0.037808059754774,0.0514817454794109,NA,NA,NA
"108","MAR","Morocco",632.766540534644,542.414995640802,1014.69435373756,0.000838693842132691,0.000720071682537044,0.00137306621176771,82.3867223400574,51.4154720966786,198.669044850381
"109","MOZ","Mozambique",534.133172479133,483.787661925503,607.100625910847,0.000479419861837042,0.000431246732981776,0.000546350003417575,NA,NA,NA
"110","MMR","Myanmar",33.3755552984599,28.8080190750893,44.7461536261783,0.0000221289821032604,0.0000192433879033126,0.0000295003123525993,NA,NA,NA
"111","NAM","Namibia",285.879425983452,258.016148102241,326.758316418424,0.00480442502234836,0.0042837052350965,0.00553108796097587,NA,NA,NA
"112","NPL","Nepal",258.984695739288,205.14213882436,531.13503918408,0.000965094797959939,0.000744764918620927,0.00187989564354199,NA,NA,NA
"113","NLD","Netherlands",9144.2455794977,8478.23786545932,10076.503121998,0.0252833893510144,0.0235210639943261,0.0277704340849439,875.398515616694,625.977906940344,1491.92680462172
"114","NZL","New Zealand",5.82634084506102,5.36185337110109,6.66124544116344,0.0000586972794155679,0.0000539585664866604,0.0000674547302817089,5.48116285705721,4.7568162537596,9.44830120655494
"115","NIC","Nicaragua",19.9645473119599,16.7318005822077,24.6192009415626,0.000107897342264251,0.0000903602865828804,0.000132987393565885,5.92831127612216,5.10431682593412,10.1395064067913
"116","NER","Niger",33.0516870720596,27.777276522005,40.5951325836797,0.0000524406140661401,0.0000439154222370131,0.000064731471088099,NA,NA,NA
"117","NGA","Nigeria",342.595790518984,315.640138623357,392.568676071668,0.0000451086238134794,0.0000416328775373636,0.000052107707882373,NA,NA,NA
"118","MKD","North Macedonia",2955.37811556813,2487.15126680288,3631.1761342643,0.0642195201072288,0.0540157462309375,0.0789434232200454,NA,NA,NA
"119","NOR","Norway",1314.60140677315,1147.64247024775,1586.66180975501,0.00899128037209499,0.00806386404200872,0.0105752141481207,188.423466419923,142.314586983102,365.98550620589
"120","OMN","Oman",1519.11400588295,1324.76582179351,1844.66586610364,0.0189945184530003,0.0167165445110032,0.0229360040581224,NA,NA,NA
"121","PAK","Pakistan",7029.31878464519,5870.78778873781,10156.0632343208,0.0018559470469667,0.00155031839964117,0.00268934086811021,27.4866602923987,22.8030507239839,53.6139052208567
"122","PSE","Palestine",3731.44527472588,3293.33082430363,4347.58546421355,0.0323760075937274,0.0286967178125074,0.0376463636539677,NA,NA,NA
"123","PAN","Panama",818.389490675025,690.250666667263,1017.08469139289,0.00689779257710575,0.00583237921824908,0.00854889078916212,59.8084032066351,50.4279057786966,113.806101195733
"124","PNG","Papua New Guinea",264.900107149216,229.323313724195,315.181215880551,0.00136464121151938,0.00124014742389631,0.00157132205498171,NA,NA,NA
"125","PRY","Paraguay",4725.92956631123,4021.86172265543,6663.55911311413,0.0310326103461336,0.0264209583325543,0.0440169665799461,NA,NA,NA
"126","PER","Peru",16179.2304153388,9854.86130794852,26594.5704194061,0.0228744031950254,0.0139848188871778,0.0374608363474755,0.859384619310404,0.735820888390915,1.61645950355924
"127","PHL","Philippines",9004.14968134291,7555.20537178901,13031.5132903823,0.00496808059612065,0.0042502007388158,0.00726223049192861,20.7614848990131,16.9944516017537,47.823857904897
"128","POL","Poland",70258.283666603,56010.8614439547,96040.6091089948,0.0804852329621723,0.0639665823855517,0.110874887971086,512.549561613064,366.780011961031,808.707625726541
"129","PRT","Portugal",2179.98893173125,1776.68621215392,2816.0113361233,0.00843481450510599,0.00686949480816295,0.0109026319057859,259.819933980526,177.866830901052,509.43421274558
"130","QAT","Qatar",1294.56731874602,999.477125841723,2027.94789905248,0.0277678701766519,0.0215271450360477,0.04268007605186,372.621899782816,279.029926094589,840.275783998015
"131","ROU","Romania",12711.6594408214,6574.06277245302,18934.1313454426,0.0268256720342655,0.0139717094955626,0.0403862296661499,212.613950969564,150.283677655136,448.765225840927
"132","RUS","Russia",23441.342772988,18459.868626534,31497.4472773441,0.00672476229988589,0.00529285209872917,0.00897448210898388,514.273731932944,373.752557759073,1137.8951789943
"133","RWA","Rwanda",412.970866110391,348.973755151178,507.087859029819,0.00146074895931087,0.00122817402064171,0.00179863808623226,NA,NA,NA
"134","LCA","Saint Lucia",42.0501771162216,36.9669234061749,51.5360460307441,0.00596099515683905,0.00512659871096037,0.00748867793846761,1.86936421899358,1.64609497025096,3.00383541166037
"135","VCT","Saint Vincent and the Grenadines",9.04357354533502,8.36965998256321,10.2490599153096,0.00255698603970119,0.00235587718945801,0.00297722518808069,4.5525169504004,3.82712406587308,6.75491705323186
"136","SMR","San Marino",65.4632148503101,54.7106844036977,80.7203882448584,0.0605291123547624,0.050155970356714,0.0755558033847149,NA,NA,NA
"137","STP","Sao Tome and Principe",21.9708900654171,19.04969559493,28.279817747121,0.00251717949481413,0.00217382091223325,0.00322705348206517,NA,NA,NA
"138","SAU","Saudi Arabia",1166.08544978311,904.333953849515,1581.98145564754,0.00212896785911221,0.0016483444240759,0.00287308423050721,54.3013273808926,43.2499435168396,104.292959292458
"139","SEN","Senegal",382.289293127442,324.72234103059,469.127434771753,0.000709345473291973,0.000604385110126662,0.00086726322161473,29.2575433310217,20.0437530936587,81.4619464428241
"140","SRB","Serbia",6664.7618276728,6171.86088684933,7373.78415008319,0.0375822257953107,0.0348510465996435,0.0415108024879069,111.353040121722,75.9575943164392,206.364128145529
"141","SYC","Seychelles",71.4371718083068,66.1290322580646,80.7860639765525,0.0292133286454268,0.0269517583871343,0.0336922651346845,NA,NA,NA
"142","SLE","Sierra Leone",6.15597657547335,5.13858474041428,7.84246621655595,0.0000330043099771198,0.0000272111773409044,0.0000429418534170744,NA,NA,NA
"143","SGP","Singapore",20.9987612193757,19.3984306887558,24.2803682388856,0.000207840806486903,0.000190713041004009,0.000249794060983326,130.17651667016,96.6762111187664,202.664874326218
"144","SVK","Slovakia",14239.3075646368,10931.4107749813,19670.4259259707,0.0843083069050934,0.0638636202786375,0.118167780394642,55.3730014120483,38.7457851587492,75.6546867884884
"145","SVN","Slovenia",3652.98881843243,2192.73758449707,4905.13919336456,0.0774017342321704,0.0477476370310445,0.103686305487445,68.1295157404042,46.5353804022834,115.918688404875
"146","SOM","Somalia",718.788115348951,601.462782689876,893.013635785098,0.00181860536896718,0.00151615434815201,0.00226791916054349,NA,NA,NA
"147","ZAF","South Africa",6154.98211903811,5044.94867269099,7804.19875489033,0.00428198999357693,0.00350493274769108,0.00542867128393917,54.9909484373801,40.3763364158179,115.63589659391
"148","KOR","South Korea",778.20856962694,635.437372020584,974.607642885376,0.000734066917670365,0.000605610347150247,0.000918474067886142,266.86688707537,201.18561485053,397.874438299158
"149","SSD","South Sudan",113.825113065637,101.346356969509,133.472814554819,0.000249756692150103,0.000229158637646539,0.000285376689815245,NA,NA,NA
"150","ESP","Spain",5349.73480199297,4176.03625300479,8947.13057812352,0.00944098897009505,0.0072849690925682,0.0160775811406622,1490.68872563245,1036.97761540781,2505.56956110762
"151","LKA","Sri Lanka",746.173859764296,646.87054507923,891.023798389901,0.00126028538546103,0.001091179285325,0.00150602077088827,1.226397123784,1.0238100288436,2.40076782664004
"152","SDN","Sudan",319.669020298003,268.889800244038,393.844473111546,0.000367306757418161,0.00030849773320225,0.00045325894115978,NA,NA,NA
"153","SUR","Suriname",12.4720570128593,10.4760560323622,15.2349028884669,0.00212456285862352,0.00177206160698546,0.00261017553203824,NA,NA,NA
"154","SWE","Sweden",9364.40252802192,8342.83172942064,10811.8703709508,0.0383082578492695,0.034205890742051,0.0441467571342674,402.981613153657,290.505947833254,775.744633399867
"155","CHE","Switzerland",2651.10101724047,2013.60069747167,9639.3570530501,0.0149405187980996,0.011344599322128,0.0547202392912429,869.010557795143,603.984781942718,1454.99942665584
"156","SYR","Syria",798.737248135939,674.816889540807,975.843330755505,0.00226559682357941,0.00191284128276688,0.00276877989960096,0.0616074997795998,0.0484893547109382,0.0822178360952072
"157","TWN","Taiwan",3.54535212658354,3.26939899431992,4.1002454099973,0.00000650232230208293,0.00000595947632746795,0.00000778733306925257,92.4954710905075,73.1843734665467,158.805068907303
"158","TJK","Tajikistan",0,0,0,0,0,0,NA,NA,NA
"159","TZA","Tanzania",0,0,0,0,0,0,NA,NA,NA
"160","THA","Thailand",138.215469873459,123.471629311146,475.390609883002,0.000371384687154429,0.000334051501927212,0.00105770044291931,7.2920870565976,5.78125882604672,10.5016691630467
"161","TGO","Togo",165.978034437731,148.297751954097,195.026472563606,0.000902531119707534,0.000819108196237139,0.00104698804454081,NA,NA,NA
"162","TTO","Trinidad and Tobago",18.0812841636439,14.9949178121426,22.553342089437,0.00154049590045841,0.00127782940706289,0.00192227636997379,NA,NA,NA
"163","TUN","Tunisia",2565.77150673562,2168.09793498567,3147.24598488571,0.0162022311893601,0.0136877911461178,0.019876887716244,4.62943737824431,2.91877532273357,11.7829196993042
"164","TUR","Turkey",37019.3600175892,26834.9607672188,245141.225162867,0.0335650089560939,0.0244279448629134,0.215027143831276,903.622212400761,644.607369471738,1413.09708585391
"165","UGA","Uganda",23.8520354096703,22.2319093286835,26.2195537450362,0.0000297700929709515,0.0000277251886769994,0.0000329860127936413,NA,NA,NA
"166","GBR","United Kingdom",8006.90227957501,7460.98517872711,8854.35074405185,0.00381952425959852,0.00356023337942813,0.00419567947441039,1459.73470693252,1037.64704318028,2714.35193819562
"167","UKR","Ukraine",19134.0068875107,16249.1519661268,32724.9687429451,0.0230649452529045,0.0195427433741847,0.0397535552085741,275.028648413329,203.303332386818,525.764685757509
"168","ARE","United Arab Emirates",3522.87137638895,3047.96664574094,4353.10338678561,0.0143411759850945,0.0124086508192218,0.0176459865981083,583.259115495183,442.083450306654,1107.38090703993
"169","USA","United States",92156.7304575984,79073.2062214915,161713.179572123,0.0127465863225502,0.0110182226890905,0.0230509701440436,1271.4963606214,919.265697001975,2236.63542255376
"170","URY","Uruguay",2491.67634990164,2201.31842995022,2959.92418820917,0.0518615146381591,0.0458019986685961,0.0614756584166162,0.29367876374371,0.257753117751555,0.514472455390278
"171","UZB","Uzbekistan",194.833763871342,170.977671600799,227.103174067422,0.000405306073838727,0.000355129837472365,0.000472647865171096,4.01492598460535,2.78915122163319,10.1529821222334
"172","VEN","Venezuela",1160.49855074558,1062.65839897552,1299.88917474262,0.00258409242585562,0.00235394190864741,0.00290841639851242,NA,NA,NA
"173","VNM","Vietnam",7.73175848475428,6.80326884569883,9.29073477387638,0.00000452509932488804,0.00000408577024519762,0.00000548087340654557,10.1156842269181,7.95913701731401,15.6607829581537
"174","YEM","Yemen",1524.40716260291,1455.09876205331,2190.77684559085,0.00234140910143822,0.00219980568970683,0.00336599204677348,NA,NA,NA
"175","ZMB","Zambia",493.259716935544,435.567049525947,721.055181912638,0.000778508099717033,0.000697245709651439,0.00110379111400839,3.73680569352697,3.23011638059531,6.75765215061511
"176","ZWE","Zimbabwe",106.09488610916,89.5116820257663,129.368784798085,0.000447437351012836,0.000377330445838112,0.000546175691215781,NA,NA,NA
